Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
total,Switzerland,61.332369,58.472671,63.466307,64.089035,65.260366,61.478906,56.645644,55.402721,61.1032427,65.2865348,66.0905137
total,Syria,43.79074,39.54538,33.16854,23.81366,20.10002,16.95686,17.18962,17.37752,17.14486,17.10508,15.80548854
total,Taiwan,243.454265,248.6656866,247.1422765,248.7627084,256.2941788,254.4164315,260.3160246,266.0783163,271.3898998,270.203504,276.0353654
total,Tajikistan,16.2689,16.07372,16.80056,16.94136,15.9904,16.98228,17.03,17.88414,19.47718,20.39389,18.62
total,Thailand,150.43362,147.30378,157.38312,160.7124,162.7324,166.69556,177.71873,172.3901,172.87589,181.19062,176.69888
total,Tunisia,14.95458,15.33848,16.79478,17.0737,17.8685,18.35076,18.48988,19.17152,19.52373,20.53718,19.53991591
total,Turkey,216.027077,220.695353,224.949966,255.913853,219.423391,254.947454,287.388687,280.4982494,255.4571314,296.9360804,324.8134043
total,Turkmenistan,15.6634,16.1898,16.688,17.7408,19.179,21.18496,21.18496,21.18496,21.185,21.1823,20.11153732
total,Ukraine,178.2679,183.83,187.01248,182.33184,171.33786,152.3494,153.55246,145.66606,150.20788,143.83374,138.97782
total,United Arab Emirates,88.332,93.22278,99.866,103.4311,109.572,119.755,121.846,126.529,127.92048,129.409,124.8408891
total,United Kingdom,363.598119,350.050286,344.691533,339.34853,321.330497,328.136974,326.0448092,324.556063,320.1469013,313.5442484,303.4642607
total,United States,4127.598158,4104.174499,4054.26169,4074.145289,4104.838664,4091.740206,4095.487355,4058.260842,4207.816619,4162.812661,4048.657847
total,Uruguay,11.02834,10.37448,10.60976,11.47076,12.85784,13.5876,13.77842,14.26338,14.53316,15.80266,12.89493127
total,Uzbekistan,49.26602,49.92094,50.1503,51.627216,52.722766,54.551956,56.004223,58.06589,59.424857,60.151687,57.84066723
total,Venezuela,110.7799,115.06854,118.5113,120.0401,100.35006,119.19768,104.67136,100.59835,96.6819,105.40402,103.7218021
total,Vietnam,90.59912,99.8877,113.18982,115.95432,133.0722,156.35746,175.15412,192.34652,210.61659,214.07644,206.3482608
total,Zambia,10.409304,11.447532,12.31092,13.231964,14.358504,13.359864,11.620963,14.312033,15.981004,15.999165,15.982285
nuclear,World,2629.103874,2518.097463,2347.094711,2364.296125,2419.59673,2448.167422,2488.986259,2514.502858,2568.446612,2673.400858,2591.356399
nuclear,Algeria,0,0,0,0,0,0,0,0,0,0,0
nuclear,Argentina,6.691,5.894,5.903,5.7316,5.258,6.644077,7.820169,5.770611,6.514307,7.9694683,10.0644147
nuclear,Australia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Austria,0,0,0,0,0,0,0,0,0,0,0
nuclear,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0
nuclear,Bahrain,0,0,0,0,0,0,0,0,0,0,0
nuclear,Bangladesh,0,0,0,0,0,0,0,0,0,0,0
nuclear,Belarus,0,0,0,0,0,0,0,0,0,0,0.338
nuclear,Belgium,45.728,45.942,38.464,40.63195,32.094,24.825,41.43045,40.128501,27.1262999,41.3056,32.6058
nuclear,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0
nuclear,Brazil,13.774,14.795,15.17,14.645,14.463,13.907351,14.973952,14.856152,14.794505,15.1610946,13.2094422
nuclear,Bulgaria,14.236,15.264,14.861,13.316,15.014,14.528,14.932001,14.718367,15.291204,15.7124461,15.7872682
nuclear,Canada,85.527,88.290999,89.491998,97.583999,101.207999,96.046001,95.687,95.565001,95.0300001,95.4690001,92.6516066
nuclear,Chile,0,0,0,0,0,0,0,0,0,0,0
nuclear,China,73.88,86.35,97.39,111.61,132.54,170.79,213.29,248.07,294.36,348.35,366.25
nuclear,Colombia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Croatia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Cuba,0,0,0,0,0,0,0,0,0,0,0
nuclear,Czech Republic,26.346003,26.602002,28.603,29.001,28.633,25.335001,22.726999,26.7856,28.2525389,28.5793509,28.369685
nuclear,Denmark,0,0,0,0,0,0,0,0,0,0,0
nuclear,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0
nuclear,Ecuador,0,0,0,0,0,0,0,0,0,0,0
nuclear,Egypt,0,0,0,0,0,0,0,0,0,0,0
nuclear,Estonia,0,0,0,0,0,0,0,0,0,0,0
nuclear,Finland,21.889,22.266,22.063,22.673001,22.646,22.325999,22.280001,21.573999,21.881,22.9149999,22.3540001
nuclear,France,407.878001,421.077532,404.880016,403.694687,415.861772,416.794816,384.008124,379.093955,393.1343271,379.4640001,335.4142381
nuclear,Germany,132.971002,102.241,94.18,92.127,91.799999,86.765,80.038,72.155,71.8659999,70.9920001,60.9139999
nuclear,Greece,0,0,0,0,0,0,0,0,0,0,0
nuclear,Hong Kong,0,0,0,0,0,0,0,0,0,0,0
nuclear,Hungary,14.799001,14.711001,14.818,14.438999,14.778,14.955999,15.162,15.215,14.855,15.402,15.172
