Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Georgia,17.64,17.14,17.46,17.58,17.15,16.83,16.23,15.34,14.45,9.56
Bulgaria,17.48,19.42,22.63,20.39,45.14,42.43,39.85,45,50.74,33.41
Tajikistan,17.38,16.5,15.13,13.73,12.02,11.42,9.88,9.46,8.66,8.44
Slovenia,16.81,17.32,17.45,17.26,13.48,13.38,14.88,15.51,16.12,7.29
Liberia,15.87,15.53,15.69,15.81,16.52,15.81,15.16,15.17,15.08,14.89
Equatorial Guinea,15.24,16.79,16.25,17.68,18.1,20.13,18.55,19.47,19.74,20.38
Estonia,14.83,19.98,21.37,20.62,12.21,14.6,15.95,13.51,14.75,20.48
El Salvador,13.92,12.92,12.59,13.33,13.33,12.86,12.59,13.34,13.18,13.27
Suriname,13.83,13.27,13.63,14.08,12.71,12.6,12.19,12.34,11.86,7.32
Kyrgyzstan,13.64,14.79,12.71,12.93,15.88,15.39,14.82,15.32,12.72,12.04
Moldova,13.5,13.38,12.86,12.87,12.1,11.9,11.25,12.12,12.37,11.66
Mauritania,13.21,12.7,12.3,12.11,13.53,12.59,12.1,12.02,11.49,11.42
Ghana,12.75,10.94,9.3,7.24,61.02,59.55,60.02,57.97,55.38,69.81
Macedonia,11.26,10.36,10.88,10.36,10.42,10.67,11.07,11.96,12.49,11.57
Haiti,11.13,11.03,11.02,11,10.74,10.38,9.96,9.67,9.91,9.01
Luxembourg,10.2,10.03,9.73,9.57,9.88,10.4,10.9,11.43,11.66,11.52
Jamaica,10.15,10.34,8.92,9.27,8.83,8.94,9.13,8.67,9.19,6.44
Armenia,10,9.48,9.29,9.45,9.08,9.05,9.06,9.12,8.13,7.69
Brunei,9.63,10.14,9.83,9.42,8.77,9.56,9.58,9.8,9.83,10.49
Sierra Leone,9.45,9.72,10.14,10.28,10.54,10.4,9.86,9.91,8.79,8.17
Latvia,8.93,9.1,8.56,8.62,8.89,8.84,8.92,9,9.2,-1.31
Albania,8.77,9.22,9.42,8.85,8.38,8.52,8.09,8.04,8.49,7.78
Togo,8.71,8.43,8.09,8.21,7.92,7.17,7.43,7.54,7.99,7.51
Costa Rica,8.48,8.48,8.2,8,7.08,7.18,7.18,6.68,6.69,12.8
Cyprus,8.29,8.31,8.49,8.35,7.9,7.82,7.42,8.13,8.64,8.95
Burundi,8.04,8.35,8.11,7.5,2.21,2.18,2.2,1.79,1.71,6.43
Rwanda,7,6.91,6.8,6.74,6.83,6.18,6.15,6,5.87,6.87
Belize,6.85,6.74,6.81,6.75,6.99,6.76,6.87,6.89,7.22,4.57
Mauritius,6.83,6.72,6.7,6.51,6.38,6.33,6.13,6,5.84,5.87
Eritrea,6.78,6.72,6.54,6.46,6.31,6.27,6.22,6.15,6.06,5.85
Timor-Leste,6.38,6.56,6.81,7.1,7.27,7.32,7.35,7.38,7.39,7.5
Guinea-Bissau,4.21,4.18,4.09,4.12,4.34,4.1,4,4.24,3.82,3.9
Montenegro,3.86,3.77,3.57,3.43,3.65,3.54,3.64,3.78,4.02,0
Barbados,3.79,3.76,3.69,3.78,3.74,3.73,3.89,4.55,4.17,3.94
Bahamas,3.18,3.13,2.57,2.39,2.53,2.83,3.17,3.85,2.92,2.37
Gambia,2.86,2.66,2.8,2.77,2.88,2.72,2.58,2.51,2.43,2.74
Iceland,2.77,2.83,2.81,2.75,3.23,3.18,3.11,2.95,2.96,3.21
Eswatini,2.69,2.55,2.51,2.43,2.34,2.36,2.36,2.28,2.24,2.23
Maldives,2.6,2.54,2.25,2.1,1.66,1.63,1.37,1.36,1.2,1.12
Lesotho,2.53,2.53,2.52,2.36,2.34,2.3,2.32,2.44,2.38,2.31
Grenada,2.39,2.37,2.33,2.31,2.29,2.26,2.32,2.4,2.29,2.26
Malta,2.13,2.04,2.02,1.88,2.18,2.86,2.84,3.17,2.99,3
Djibouti,1.38,1.36,1.36,1.36,1.4,1.33,1.48,1.41,1.38,1.41
Antigua and Barbuda,1.22,1.19,1.15,1.12,1.09,1.06,1.05,1.26,1.09,1.03
Vanuatu,0.87,0.86,0.82,0.82,0.77,0.79,0.73,0.73,0.73,0.71
Samoa,0.79,0.78,0.79,0.78,0.71,0.67,0.65,0.64,0.64,0.62
Seychelles,0.78,0.74,0.73,0.72,0.65,0.6,0.54,0.55,0.53,0.56
Cape Verde,0.75,0.71,0.68,0.66,0.61,0.61,0.61,0.63,0.66,0.67
Saint Lucia,0.74,0.72,0.72,0.69,0.68,0.68,0.67,0.91,0.74,0.71
Comoros,0.7,0.68,0.65,0.58,0.54,0.52,0.53,0.5,0.48,0.48
Andorra,0.63,0.62,0.59,0.59,0.58,0.57,0.59,0.6,0.6,0.63
Sao Tome and Principe,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.34,0.14
Bhutan,0.36,0.37,0.3,0.26,0.11,0.06,0.03,0.06,-0.04,-5.49
Saint Kitts and Nevis,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.43,0.38,0.34
Saint Vincent and the Grenadines,0.34,0.34,0.31,0.34,0.33,0.35,0.31,0.44,0.35,0.33
Tonga,0.31,0.31,0.33,0.3,0.26,0.26,0.26,0.25,0.25,0.26
Palau,0.29,0.28,0.29,0.28,0.23,0.24,0.25,0.24,0.23,0.23
Micronesia,0.23,0.22,0.22,0.22,0.2,0.19,0.18,0.17,0.16,0.15
Marshall Islands,0.23,0.23,0.23,0.22,0.19,0.19,0.18,0.18,0.18,0.18
Dominica,0.22,0.22,0.22,0.23,0.24,0.24,0.23,0.31,0.24,0.24
Liechtenstein,0.16,0.16,0.17,0.16,0.17,0.18,0.21,0.2,0.19,0.23
Kiribati,0.12,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.08,0.08
Cook Islands,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08
Nauru,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.05
Tuvalu,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Niue,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01
Fiji,-0.16,-0.24,-0.22,-0.41,-0.54,-0.66,-0.25,-0.37,-0.29,-0.24
